root,case,robots,control_hz,repeat,deadline_ms,attainment_percent
serving_slo_actions_20260917,r1_hz40_rep1,1,40.0,1,250,100.0
serving_slo_actions_20260917,r1_hz40_rep1,1,40.0,1,500,100.0
serving_slo_actions_20260917,r1_hz40_rep1,1,40.0,1,1000,100.0
serving_slo_actions_20260917,r1_hz40_rep2,1,40.0,2,156,0.0
serving_slo_actions_20260917,r1_hz40_rep2,1,40.0,2,200,100.0
serving_slo_actions_20260917,r1_hz40_rep2,1,40.0,2,250,100.0
serving_slo_actions_20260917,r1_hz40_rep2,1,40.0,2,500,100.0
serving_slo_actions_20260917,r1_hz40_rep2,1,40.0,2,1000,100.0
serving_slo_actions_20260917,r1_hz40_rep3,1,40.0,3,156,0.0
serving_slo_actions_20260917,r1_hz40_rep3,1,40.0,3,200,100.0
serving_slo_actions_20260917,r1_hz40_rep3,1,40.0,3,250,100.0
serving_slo_actions_20260917,r1_hz40_rep3,1,40.0,3,500,100.0
serving_slo_actions_20260917,r1_hz40_rep3,1,40.0,3,1000,100.0
serving_slo_actions_20260917,r1_hz40_rep4,1,40.0,4,156,0.0
serving_slo_actions_20260917,r1_hz40_rep4,1,40.0,4,200,100.0
serving_slo_actions_20260917,r1_hz40_rep4,1,40.0,4,250,100.0
serving_slo_actions_20260917,r1_hz40_rep4,1,40.0,4,500,100.0
serving_slo_actions_20260917,r1_hz40_rep4,1,40.0,4,1000,100.0
serving_slo_actions_20260917,r4_hz10_rep0,4,10.0,0,156,5.625
serving_slo_actions_20260917,r4_hz10_rep0,4,10.0,0,200,20.625
serving_slo_actions_20260917,r4_hz10_rep0,4,10.0,0,250,30.0
serving_slo_actions_20260917,r4_hz10_rep0,4,10.0,0,500,100.0
serving_slo_actions_20260917,r4_hz10_rep0,4,10.0,0,1000,100.0
serving_slo_actions_20260917,r4_hz10_rep1,4,10.0,1,156,3.75
serving_slo_actions_20260917,r4_hz10_rep1,4,10.0,1,200,18.75
serving_slo_actions_20260917,r4_hz10_rep1,4,10.0,1,250,23.75
serving_slo_actions_20260917,r4_hz10_rep1,4,10.0,1,500,100.0
serving_slo_actions_20260917,r4_hz10_rep1,4,10.0,1,1000,100.0
serving_slo_actions_20260917,r4_hz10_rep2,4,10.0,2,156,0.0
serving_slo_actions_20260917,r4_hz10_rep2,4,10.0,2,200,3.125
serving_slo_actions_20260917,r4_hz10_rep2,4,10.0,2,250,46.875
serving_slo_actions_20260917,r4_hz10_rep2,4,10.0,2,500,100.0
serving_slo_actions_20260917,r4_hz10_rep2,4,10.0,2,1000,100.0
serving_slo_actions_20260917,r4_hz10_rep3,4,10.0,3,156,2.5
serving_slo_actions_20260917,r4_hz10_rep3,4,10.0,3,200,14.375
serving_slo_actions_20260917,r4_hz10_rep3,4,10.0,3,250,56.25
